类型,ID/标题,发布日期,字数/点赞,浏览量/文章ID,详细内容摘要
实盘推文,2100951047749632276,Fri Sep 18,点赞 40,浏览 24945,这几天给大家带来一个比较炸裂的分析  - order book的深度  大家都知道不管是 @OpenAI 还是 @AnthropicAI 都还没上市。。都没有现货对冲  那么到底是谁给 openai 和 anthrophic 的pre ipo stock perps 提供流动性？   这次说的事情除了有点硬核，还可能是交易所不愿提及的，为了怕被公关，所以就只会放在都在 substack 付费订阅里 ： https://substack.com/@agintender  大家都在说自家的流动性好？！是真的吗？好在哪儿？  那这次说一点binance不敢明着跟大家说的“流动性问题”  友情提示，跟binance research给出的信息，差的有点远 🤣🤣
实盘推文,2064005568893952498,Mon Jun 08,点赞 10,浏览 5912,"哈哈哈 我今天还在说世界杯这么大的IP，币圈怎么没有人来做点文章呢？结果就看到 https://t.co/n6PTW0Cinf 的新机制文章  如果翻看crypto的来时路，你会发现每次的市场升级（aka奇点）都是机制的升级带来的  最初eth募资靠社区自发，后来开始有tg，bitcointalk社区发空投激励，然后发币之前要看有多少partnership，再到后来的tvl，tx，hash甚至是points，airdrop的分发也从持币，到做任务，到agency；  ico之后有ieo，ido，token也从上spot，上perp的路径一样，前期是社区-现货流动性-到后来靠perp的机制带来流动性；  但我们要记得螺旋的内核并不是单纯的""加机制""，而是针对性在做同一件事：给流动性发一份在真实需求到来之前就肯进场的carry，同时把bootstrap的资金成本压低。  perp相对spot，加的是funding。资金费让做市和基差套利有人付钱进场，杠杆让你不用1:1锁本金就能造深度。carry是内生的——多空互付，自平衡。   TVL是把carry换成代币排放，points是把carry换成预期（把成本递延）。   但是meme？！well，纯meme本来没有carry，只有注意力反身性，所以脆，而且注意力消失之后嘎·嘣·脆  我看下来four可能要干的事就是给meme装了一个fee flywheel：成交费回购/再分配，持有和交易本身被付钱。bonding curve负责""低成本、无许可地起盘""那一半，费用飞轮负责carry那一半。利用纯注意力反身性升级成费用背书的反身性。  设计初衷是很好的，熊市还在想办法变花样争取注意力，不管是资本还是listing，但是在流动性不足的情况，（注意力也是流动性的一种），可能还需要更多的催化剂  有机会的话，可以写一篇长文好好探究"
实盘推文,2083417941882929276,Sat Aug 01,点赞 16,浏览 15301,当我们一直在说samsung三星和sk海力士的2x杠杆etf产品破坏力惊人时，这到底是怎么回事？  今天有空了，给大家开开眼 我以7月31日的etf交易数据举个例子  1. etf交易与本股的交易 现在市场上总共有16只个股的杠杆产品：7只三星电子杠杆ETF、7只SK海力士杠杆ETF，以及各自一只反向2x产品  sk海力士相关的etf成交额是2.244万亿韩元，本股的成交额17.219万亿韩元；  samsung的etf成交额是0.788万亿韩元，本股的成交额14.767万亿韩元  2. 如果把2倍杠杆算进去，相当于多少本股交易？ 最简单的算法是： ETF交易额 x 2  sk海力士2.244*2 = 4.487，占了本股交易的26.1% samsung 0.788*2 = 1.576，占了本股交易的10.7%  你看到这里是不是瑟瑟发抖了。。 好家伙，海力士26.1%的交易是etf构成的。。。（这也是一些分析师拿来放大吓唬大家的～）  但是这个数其实是 gross delta equivalent，不是实际发生的本股成交。  3. 现货穿透率 一般来说，投资者a把ETF卖给投资者b，做市商可以完全不碰本股；不同订单可以内部抵消；部分产品也使用单股期货、掉期或其他衍生品对冲  假设ETF的2倍名义成交中，我们保守一点假设只有25%最终转化为新增现货对冲：  sk海力士2.244*0.25 = 1.122，占了本股交易的6.5% samsung 0.788*0.25 = 0.394，占了本股交易的2.7%  4. 更重要的是日终rebalance再平衡 2倍产品每天收盘前还要把杠杆重新调回2倍  假设开盘时基金净资产为 A，本股上涨 r： 正向2倍ETF理论上需要追加： 2Ar ；  反向2倍ETF在本股上涨后，也需要买回部分空头，理论金额为：6Ar  所以在暴涨日，正向2倍ETF和反向2倍ETF都可能成为买方。正向产品要增加多头，反向产品要回补空头。这是杠杆ETF可能产生顺周期效应的核心。  所以如果按照7月31日收盘后的ETF市值倒推，简化计算我们假设没有申购赎回、全部维持准确的±2倍杠杆：  sk海力士的rebalance买入2.604万亿韩元，占了本股交易的15.1%； samsung的rebalance买入1.237万亿韩元，占了本股交易的8.4%  5. 现在问题来了：  你们觉得 15.1%和8.4%的2x etf产品交易量对本股意味着什么？  欲知后事如何，还请听下回分解～
实盘推文,2083411790357229703,Sat Aug 01,点赞 30,浏览 13317,当我们一直在说samsung三星和sk海力士的2x杠杆etf产品破坏力惊人时，这到底是怎么回事？  今天有空了，给大家开开眼 我以7月31日的etf交易数据举个例子  1. etf交易与本股的交易 现在市场上总共有16只个股的杠杆产品：7只三星电子杠杆ETF、7只SK海力士杠杆ETF，以及各自一只反向2x产品  sk海力士相关的etf成交额是2.244万亿韩元，本股的成交额17.219万亿韩元；   samsung的etf成交额是0.788万亿韩元，本股的成交额14.767万亿韩元  2. 如果把2倍杠杆算进去，相当于多少本股交易？ 最简单的算法是： ETF交易额 x 2   sk海力士2.244*2 = 4.487，占了本股交易的26.1% samsung 0.788*2 = 1.576，占了本股交易的10.7%  你看到这里是不是瑟瑟发抖了。。 好家伙，海力士26.1%的交易是etf构成的。。。（这也是一些分析师拿来放大吓唬大家的～）  但是这个数其实是 gross delta equivalent，不是实际发生的本股成交。  3. 现货穿透率 一般来说，投资者a把ETF卖给投资者b，做市商可以完全不碰本股；不同订单可以内部抵消；部分产品也使用单股期货、掉期或其他衍生品对冲  假设ETF的2倍名义成交中，我们保守一点假设只有25%最终转化为新增现货对冲：  sk海力士2.244*0.25 = 1.122，占了本股交易的6.5% samsung 0.788*0.25 = 0.394，占了本股交易的2.7%  4. 更重要的是日终rebalance再平衡 2倍产品每天收盘前还要把杠杆重新调回2倍  假设开盘时基金净资产为 A，本股上涨 r： 正向2倍ETF理论上需要追加： 2Ar ；   反向2倍ETF在本股上涨后，也需要买回部分空头，理论金额为：6Ar   所以在暴涨日，正向2倍ETF和反向2倍ETF都可能成为买方。正向产品要增加多头，反向产品要回补空头。这是杠杆ETF可能产生顺周期效应的核心。  所以如果按照7月31日收盘后的ETF市值倒推，简化计算我们假设没有申购赎回、全部维持准确的±2倍杠杆：  sk海力士的rebalance买入2.604万亿韩元，占了本股交易的15.1%； samsung的rebalance买入1.237万亿韩元，占了本股交易的8.4%  5. 现在问题来了：  你们觉得 15.1%和8.4%的2x etf产品交易量对本股意味着什么？   欲知后事如何，还请听下回分解～  🤣 🤣🤣🤣  ps：其实推文是有点长了，有兴趣的可以关注我的substack  https://t.co/oWfm2IKoZs
实盘推文,2089757942346367474,Tue Aug 18,点赞 34,浏览 34425,🤣 有小伙伴看到@bitget 在强推自己的tradfi流动性深度，问我真的是这样吗？   我就笑着说，其实真的看情况 - 价先还是深度优先（还有算法和mm的原因）  刚好我也在做类似的策略，我在想要不要搞一下这波浑水，搞个多家交易所的流动性深度测评，这个测试会分时间段//多个策略/滑点/spoofing/击穿/场景（有点谁浅，谁尴尬的既视感 😂）  我能做到什么程度，老粉可能都知道… 感兴趣的交易所pm我吧   ps：先说这个测试要价很贵啊，因为成本真的很高  而且我不会告诉你账户信息，不会告诉你我什么时候交易，也不会提前给你看报告… 写完之后我会出个我的使用体验和注意事项  pps：你要是当成是一次pr，写一篇文，发一个推的心态就别来找我了  你要是当成是一个红白方攻防的才来
实盘推文,2051503985979482138,Tue May 05,点赞 18,浏览 5177,说的极端一点，you have nothing to lose，都这个样子了，与其等着被下架，还不如死马当活马医，为行业做点贡献了  这套玩法是一个集合约机制、贷款机制和现货杠杆 （margin trade）的组合玩法  并叠加了 altcoin常常出现的筹码相对集中，流通盘较少，期货和现货偶尔价格不同等特点  这一套三螺旋下来，你就说刺不刺激～   不要小看机制，ethena用开空perp+持有现货的机制干出50亿的usde tvl的规模  只要能为altcoin炸出一点水花，我也觉得值得了
实盘推文,2050508717083537499,Sat May 02,点赞 66,浏览 18972,四月份，可能有5-6个朋友（项目方）来找我，问：交易所又来“催命”了，说交易所说交易量不足，深度不够，要是不改善，会面对下架的风险  更崩溃的是，当他们跟自己的本命“签约”mm说的时候，对，就是那些跟项目方借了几个m token的主流mm们-说这个问题的时候：得到的回复都是现在市场流动性不好，他们也不敢放太多单子，还请见谅….  地主家没余粮了  没有流动性，交易量就更萎靡，交易所就会下架…  他们问我这能咋办？难道只能跟交易所交保护费？做什么交易大赛的激励活动去刷量嘛？  我就说你这个方式太落伍了…. 都已经2620年了，咱们能不能换个高级一点的打法 - 用机制去带动交易需求，去激活市场活性  只要你不是诈骗跑路和meme，其实都有得玩的  所以问题来了，具体该怎么弄呢？  今晚把思路分享给各位～  各位不想放弃，还想继续建设，搞事的项目方们，这篇文值得至少值10万u
实盘推文,2075765156773286223,Sat Jul 11,点赞 14,浏览 8405,上集说道  6月中下旬闹得沸沸扬扬的Binance没拿到MiCA，退出欧洲市场，然后在twitter上引发口水仗，然后有说好多 $usdc 从bn外流的，你们猜都流去哪家交易所了？  A.  OKX B.  Gate C.  Bybit D.  Kucoin  截止到6月30日的数据： 从Binance流出的18亿美金 $usdc 到底去了哪里？  cex的话主要是流去Bybit和Kucoin，但是数量也就2.2亿左右（coinbase，bitavo和kraken没统计到）  大头主要是 1. 官方赎回/销毁了43亿 2. 流向用户自己的web3钱包  印证那句： 能接下至真园的，不好说是不是下一个至真园，但肯定不是还在那里的红鹭和金美林。
实盘推文,2100779545125421497,Fri Sep 18,点赞 10,浏览 5386,都已经可以tokenized stock了，我猜arc大概率不会发币了，倒不如用 tokenized $CRCL 当做native token 同理base 用 tokenized $COIN   当然更狠一点，把DAT 放进来，比如tokenized $BNC 当成bnb chain其中一个侧链/协议的native token 。。  怎么说呢？ 现在vibe coding + 审计这么效率 DAT自己搞一个协议出来啊～
实盘推文,2091737058415128743,Mon Aug 24,点赞 13,浏览 10252,哈哈哈 我真的是服了 solana:6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN 的操作  临近解锁期，搞一个空穴来风的“即将”有大动作 - 还有谣传说是要在xx chain上发meme，fomo了一个周末  结果来个单边流动性卖币，幸好对这群人已经祛魅+免疫了  要知道他们要是想让clarity act通过， 就不太可能在这个时间点再发一个币。。 但是解锁期到了要出货，又要消息fomo  bitcoin:native 横盘期间，来自meme的消息面都是为了斩杀而来   solana:6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN solana:FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P
实盘推文,2050125087320490227,Fri May 01,点赞 25,浏览 7486,有朋友问， $pundiai 这个市值不到5m的币，怎么上了 @Aster_DEX 之后的表现还可以啊，都在问这个是怎么在没有交易激励下做到的。。。。这个熊市有谁还愿意来玩。。  其实方法很简单 - 用机制，让套利者/mm进来陪你玩  已知： 1. 现在是负费率：short pays long ，现在aster的持多仓的年化大概是217%，而持多仓要对冲的话，就需要在其他地方借贷开空仓来对冲  聪明的你，是不是联想到了 @youcanshortit   对的，目前在 https://t.co/HJByC2ahKH 的借贷开空利率年化是2.7%   所以收益是 217% - 2.7% = 214.3% 的年化收益 ，是你的话，你会来薅这个羊毛吗？   有机制代替mm和交易激励才是时代正解，你学会了吗？  给那些上了 @Aster_DEX 的alpha项目方，你其实不需要额外花钱给mm，也不需要做什么token loan，这里有一个对于项目方来说近乎无成本的机制，你只需要把token stake进来协议就行，剩下的，让时间和市场来完成  $xcn @Onyx  $pros @pharos_network $blend   @youcanshortit 的妙处还不止于此呢～
实盘推文,2000966325255201126,Tue Dec 16,点赞 11,浏览 8468,哎呀 大家伙可能没理解交易和交易比赛的区别  交易的话，是赚的每一分钱都有意义； 比赛的话，如果不是第一，就没什么意义了  所以比赛的话，策略上都是很激进的 （你看 @Web3Feng 之前的风格）  另外要对冲出货的话，也不是不行，但是这是个技术活儿，举个例子，在bn和aster的跑 aster的策略都会有延迟，更别说套了  不是不可能，就是说有这个力气，还不如多发几个广子，做空几个小币更容易（当然这些被邀请的交易员也不太能这么做）
实盘推文,2041131852782858418,Mon Apr 06,点赞 25,浏览 14141,认真的，我第一眼看到报告的时候还以为 @coinglass_com 收了钱了。。  只要你去看官方网站的信息，跑一遍脚本就能追踪到，就这么明显的事，分析师居然没去做？！也导致了 @okx 和 @Bybit_Official 的追踪资产储备情况与官方披露的差了太多了（一个百亿，一个八十几）。。。 也进而得出binance断层式碾压的结论。。（当然就算加上Binance也还是第一）  首先我看的数据肯定不是准确的，我能想到的解释是分析师的统计口径和方式不同，不依赖于官方披露的数据  有空再说一个细思极恐的事情。。。
实盘推文,2040632625006825759,Sun Apr 05,点赞 19,浏览 8108,我们用 CoinGlass Q1 官方报告的 OI 数据，交叉对比 @binance @okx @bitget @Bybit_Official @Gate @MEXC @HTX_Global @kucoincom 8个 CEX 的PoR储备证明，发现了几个隐藏在交易量、市场份额排名的事情：  https://t.co/LvSAUOJlRu的 OI 排名第三，甚至超过了 OKX，但其储备仅为 OI 的一半不到，奇怪吗？  MEXC 和 KuCoin 的未平仓头寸超过储备 2 倍以上，这可能吗？都这么激进吗？  Binance 每 $4.6 的储备才支撑 $1 的 OI——这么保守吗？大家都不上杠杆吗？  更耐人寻味的是 CoinGlass： Binance 的用户资产份额高达 73.5%，是其交易量份额的两倍，这是怎么回事？！大家都来理财吗？  隐藏在数据之下的行业格局是我们都不敢触碰的禁忌
实盘推文,2027233926541189281,Fri Feb 27,点赞 31,浏览 12913,发现道居然没有人写nvidia财务表现超预期，但股价不升反降的小结。我之前写过一篇nvidia q3的财报分析但是流量不咋样，我这次就简短写一个吧 （先说啊，这个不是我个人的看法，我就是汇总），不构成投资建议  一句话：市场对产业链下游的变现焦虑（aka AI泡沫担忧）  英伟达作为“卖铲子”的人赚得盆满钵满，但购买这些天价GPU的下游大客户（如某软、谷某、小扎等等）如果在应用端赚不到足够的钱，这种疯狂的资本开支（Capex）还能持续多久？没有疯狂的capex，那nvidia的表现还能持续？  举个例子： Me某： 小扎在最新的财报预计2026年的资本开支将达到恐怖的 1150亿至1350亿美元（相比2025年的720亿美元近乎翻倍，更是2024年的三倍多）。为了搞他的“超级人工智能（Superintelligence）”，而大家都知道某ta的AI战略有点那啥。。。  要知道生成式AI应用目前的市场营收远不及硬件的投入规模，这种ROI是有病态的  大客户狂买GPU，对英伟达的当期业绩当然是利好，但金融市场永远在“交易预期”，而这个预期嘛？ 🤣 有点不太对劲  庄家和机构们的潜台词是：“老黄啊，我知道你现在数钱数到手抽筋，但你的客户都在透支未来买你的卡。万一明年他们突然清醒了，发现大模型没那么赚钱，集体砍单怎么办？”
实盘推文,2070846333624438844,Sat Jun 27,点赞 30,浏览 12607,前段时间去了趟墨西哥🇲🇽，不小心误闯天家，偶然结识了个台山老哥，聊着聊着就聊到了当地法币的无奈，聊到了远方的亲人，还有那个不是秘密的秘密汇款渠道  本文结合着我的理解和认识大致描绘了一下拉美的稳定币应用情况  原来要写成一个田野调查的的形式，后来想想还是这种可能更适合我的读者  在拉美，与其说是crypto adoption，还不如说就是stablecoin conversion（老哥原话是：不过是另一个老板发的筹码而已）crypto压根是什么都不重要  发生变化的是remittance story，crypto就不要幻想成是自己的adoption  bitcoin 一个点对点的现金，仅此而已：稳定币何尝不可
实盘推文,2049696502927553007,Thu Apr 30,点赞 24,浏览 8045,我一直觉得0.01%在资金费率公式有意义的，年化10.95%  因为这实质上是一种做市商（流动性）补贴，新项目pre tge的补贴更高  我们要从做市商的角度来看，而不是借贷利率来看 - 11%是做市商/套利/carry trade愿意进来这个市场的”门槛“  做市商的资源也是有成本的（包括机会成本），所以标的的对手是其他博弈机会，而不是资金费率vs利率  大家有空看下这篇分析文，真的挺好的 https://t.co/nqE798HWw4
实盘推文,2036819597618483304,Wed Mar 25,点赞 17,浏览 7163,这个所谓“指导性文件”，在这个时间点发。。更多就是写给监管看的  大家看看个热闹就好  该封的，不能做的，其实早就形成了规则 - 正经做市商谁care这个，镰刀做市商也不care这个。。  而且最近不知道是不是因为监管的介入，好多原来可以提前实施措施的都不能做了  这篇文感觉就是合规部写的，反正有好有坏吧
实盘推文,2101126439357895024,Sat Sep 19,点赞 0,浏览 0,这几天给大家带来一个比较炸裂的分析  - order book的深度  大家都知道不管是 @OpenAI 还是 @AnthropicAI 都还没上市。。都没有现货对冲  那么到底是谁给 openai 和 anthrophic 的pre ipo stock perps 提供流动性？   这次说的事情除了有点硬核，还可能是交易所不愿提及的，为了怕被公关，所以就只会放在都在 substack 付费订阅里 ： https://substack.com/@agintender  大家都在说自家的流动性好？！是真的吗？好在哪儿？  那这次说一点binance不敢明着跟大家说的“流动性问题”  友情提示，跟binance research给出的信息，差的有点远 🤣🤣
实盘推文,1972881451973804283,Tue Sep 30,点赞 12,浏览 4929,1没有交易量，就没有关注：一个没有交易量的新DEX如同鬼城，无法吸引流动性。 2激励产生交易量：空投为用户创造了强大的激励，促使他们产生巨大但人为的交易量。 3吸引做市商：这种高交易量，即使是虚假的，也使平台看起来非常活跃。这对于吸引寻求高流量场所来部署策略的专业做市商至关重要。 4真实流动性入场：随着做市商的接入，他们提供了深度、真实的流动性并收紧了价差。 5吸引真实交易者：深度流动性、低费用和良好的用户体验相结合，最终吸引了有机的、非激励驱动的交易者
实盘推文,1896762820051808705,Tue Mar 04,点赞 3,浏览 1052,"Some time ago, @cz_binance mentioned that he generally has a good sense of people (but it takes time to assess them). Seeing what happened @cronosapp  https://t.co/rlGMPZkz7O, I can’t help but be amazed.  To understand the backstory, we have to go back to their origins: MONACO ($MCO)—an old project from the 2017 ICO era that started as a payment gateway with crypto cards as its core offering. In 2017/2018, it had a glorious debut, getting listed on all the major exchanges, including @binance, @Official_Upbit, @CoinbaseExch, @BithumbOfficial, and @okx.  By the second half of 2018, they announced a rebranding from Monaco to https://t.co/sSsFS90z8x (reportedly spending a huge sum to acquire the domain, with PR campaigns to back it up). By the end of 2018, they launched a new token called $CRO under the https://t.co/sSsFS90z8x ecosystem narrative, and it made quite a splash, getting listed on major exchanges in China and Korea. (At this point, https://t.co/sSsFS90z8x had not yet announced its plans to enter the exchange business.)  One thing that left a strong impression on me was that in October 2019, CRO was listed on the top two Korean exchanges, and within a month, https://t.co/sSsFS90z8x announced its plans to launch an exchange. The people responsible for listing CRO on those exchanges were furious—almost flipping tables. It was truly a stealthy maneuver.  Fast forward to August 2020, https://t.co/sSsFS90z8x announced that MCO would be merged into the new $CRO ecosystem. I don’t remember the exact exchange ratio, but MCO holders only received a tiny fraction of the total CRO supply, which caused an uproar in the community. I personally suspect that this move was a ""backdoor listing"" strategy to get CRO listed on Binance, since CRO was booming at the time (market cap in the top 20, with one of the highest daily trading volumes). If CRO got listed, it would basically become a money-printing machine. But @binance didn’t fall for it and delisted MCO after the token swap ended in 2021.  Another interesting episode happened in February 2021, when https://t.co/sSsFS90z8x officially announced that, to embrace decentralization and support the launch of @cronosapp, they would burn 70% of CRO’s supply (which, of course, implies they had an enormous stash of tokens).  And now, four years later, https://t.co/sSsFS90z8x has announced that they need to ""re-mint"" the burned tokens to support their ETF plans. Of course, it’s still in the voting phase, but given the node distribution, well… you get the idea.  Sometimes, you just have to admit—@cz_binance really has a knack for reading people. A single leaf reveals the coming of spring. #cro #Cryptocom"
实盘推文,1905986205197742118,Sat Mar 29,点赞 3,浏览 497,"Feeling exhausted after the Hong Kong Web3 Festival? Come join us for some sizzling hotpot chicken! 🍲🔥  A huge thanks to @PundiAI and @zetachain for sponsoring this private late-night chicken pot gathering on April 8th from 9 PM to 2 AM.  This is an exclusive event with industry OGs, media, KOLs, project teams, exchanges, tools, VCs, and more — a chance for old friends to catch up and unwind.  Due to limited space, we can only invite a select number of guests. Apologies in advance!  But hey — I'll be selecting 5 lucky participants from those who actively engage with this post to join us for some delicious hotpot chicken.  Please help me out by sharing this post (boss asking) 🙏🙏🙏 #HongKongWeb3Carnival #Web3Festival"
实盘推文,1833103303473057980,Mon Sep 09,点赞 17,浏览 552,Anyone can share with me what was the biggest #crypto lucky draw u have ever heard?  @PundiXLabs @PundiAIFX and @Purse_Land are doing something very very big during the upcoming #TOKEN2049   Probably the biggest #reward in the #TOKEN2049  history
实盘推文,1769655815009653054,Mon Mar 18,点赞 4,浏览 1830,"1/3 how about we do a ""donate-to-launch"" #memecoin  on fxcore for fun? @indrawxyz @zibin @DavidBenKay @functionx_io   donate address: 0xF47aFb4eC09671CC62565FFFB7073F3557964943 (fxcore)  I will put all of the donation proceed + #meme token into the pool and burn the LP token"
实盘推文,1775113008441909563,Tue Apr 02,点赞 8,浏览 480,i guess @functionx_io and @cosmos's ecosystem really like to trade #memecoin on @marginx_io   trading is climbing we are working hard  #SAFU   @Cosmos_Tic @Cryptocito @CosmosATOMDaily @InformaCosmos @JPL_Cosmos
实盘推文,1787799678983295469,Tue May 07,点赞 4,浏览 602,"If u dont understand #meme look at #points by @Blast_L2 @eigencloud @puffer_finance   the same underlying conceptual framework- the social lottery, the tiny hope to hit big jackpot 🎰  Do NOT participate if you do not understand"
实盘推文,1660905299903905793,Tue May 23,点赞 11,浏览 694,"1/6 Why do I prefer the perpetual contract over spot trading to #Memes  coin?  To put it simply, the perpetual contract allows you to maximize your options within a limited window period than the spot.  A thread 🧵 https://t.co/vH0z5S3tiw"
实盘推文,1633404259763998721,Wed Mar 08,点赞 4,浏览 165,Shall we do a twitter space to discuss the recent events between @Alpha_HomoraV2 and @ibdotxyz on @marginx_io ? @AlphaVentureDAO @tascha_panpan any thoughts? We believe the public attention shall put some pressure on @ibdotxyz to avoid doing something disgraceful to #DeFi space
实盘推文,1660907034491908096,Tue May 23,点赞 5,浏览 87,6/6 Security I believe everyone has heard that the project party will blacklist the address that has earned 10000x  before - so that the address cannot be transferred; or prevent you from withdrawing coins in various ways on the centralised exchange
实盘推文,1660906457376739329,Tue May 23,点赞 5,浏览 87,4/6 #Perpetual vs #Spot Perpetual contract has leverage function. Leverage can make your capital use more efficient. The same money can participate in several different memes at the same time - greatly increasing your number of choices
实盘推文,1660906231635009539,Tue May 23,点赞 5,浏览 75,"4/6 Secondly, for #memecoins , a 20% drop is the same as a 100% drop, because the gas fee cannot be covered after selling, so there is no need to sell the remaining token value, just like you bought a lottery ticket (on #dex)"
实盘推文,1660906083500584963,Tue May 23,点赞 5,浏览 81,"3/6 lottery theory My premise is that buying a meme coin is similar to ""buying a lottery ticket"". Of course the probability is low.  So what I value more is the ""number of selections"". This is a probability game. The more times you participate, the greater the probability of being selected. So in order to maximize my number of choices, each trade size is very small (and sometimes the gas fee may exceed the capital I invested)"
实盘推文,1660905913992052737,Tue May 23,点赞 5,浏览 79,"3/6 #meme is essentially go big or go home, with a high probability that it will either return to zero or the price will be cut in half, and the window period for ups and downs is very fast, and it often fluctuates with market sentiment  Furthermore, the outbreaks of meme coins are all intensive, and they all have a specific window period, and the general cycle is a few hours to a few days. To seize the opportunity to choose prey during that window"
实盘推文,1591649089644630018,Sun Nov 13,点赞 3,浏览 0,So this proof-of-address thingy is just for show? I thought u said “cold wallet” storage? Interesting  Does other exchanges’ wallet consider as ‘my cold wallet’ ?  Better keep in private wallet then Ur keys ur coins
实盘推文,2087113366078914885,Tue Aug 11,点赞 5,浏览 4459,但其实bn上这个 香港版本skhynix 2x的时间点应该是有点说法的（也可能是我自己想的 😂 可能就是单纯把港股按交易量和热度筛一遍）  刚好填补了因韩国国内提高参与这种2x杠杆etf的门槛的空白期  就是这个深度比较一言难尽….  应该是做市商没谈好，再不然就是上币组和做市商组脱节了  这么好做的标的，不应该啊
实盘推文,1969993076761600148,Mon Sep 22,点赞 2,浏览 206,举个例子，资金费率算法里有个叫溢价指数的东东，里面有个重要的组成部分了叫“冲击价格”  这玩意儿是根据买/卖的订单簿的深浅来计算的  且不论算法和撮合的因素，人家cex能这么用是因为人家的流动性好，做市商扎堆和各种规则限制（有些还是专属mm，要求强制提供流动性）  新开张的dex的话，除了爹之外，你拿什么保证流动性？！
实盘推文,2056038265287778511,Sun May 17,点赞 34,浏览 16040,"你如果曾跟我一样怀疑tokenomics 写着""5% 做市商分配""到底是什么的话，那你可能要看下这篇文了。  那 5% 是借出还是卖出?strike 多少?到期归还还是行权?这三个问题决定 altcoin 一年的走势,retail 从来看不到答案。"
实盘推文,2075550259191906442,Fri Jul 10,点赞 17,浏览 12173,问大家一个问题，6月中下旬闹得沸沸扬扬的Binance没拿到MiCA，退出欧洲市场，然后在twitter上引发口水仗，然后有说好多 $usdc 从bn外流的，你们猜都流去哪家交易所了？  A.  OKX B.  Gate C.  Bybit D.  Kucoin  😂 一会儿公布
实盘推文,2045477435102408882,Sat Apr 18,点赞 32,浏览 34848,又给 $rave 的事业添砖加瓦了… 你不提还好，一提反而更停不下来  而且主要的oi 在okx啊…. 你漏了这个关键问题，差评🤣  不用悬赏  来，我教你，你去dubai报个警，然后拿着这个记录去vara投诉，集齐10个就可以召唤“神龙” 去跟在那里注册的交易所施压了（理由类似：说有个从伊朗的诈骗犯对这个币操纵洗钱卖军火 🤣）
实盘推文,2077986003835560197,Fri Jul 17,点赞 38,浏览 40158,来，各位，7月中旬了 - 时间差不多了  好多x上的明星标的 $mu $sndk $mrvl $aaoi 已经距离六月高点回撤了30%～50%  我不懂半导体，但我懂人性，我看财报周期  我开始逐步1/6 凯莉进场了  买在无人问津，甚至唾弃之时  8月中旬再看 https://t.co/AFFKn1k7OS
实盘推文,2038631485318828195,Mon Mar 30,点赞 21,浏览 20704,根据owen老哥的消息，binance将对单个账户的oi进行限制，尤其是在熊市的现在，含金量还在上升  自此Binance的合约操盘博弈将从一对多，到多对多的战略转移  OI持仓上限术  有经验的mm的含金量再次提高  anyway这个事情终于拿到台面上说了 🤣 https://t.co/CINwQl6RcA
实盘推文,1972659518493397150,Mon Sep 29,点赞 6,浏览 7196,活久见了 开盘不到10分钟， $FF 的资金费率打到了-2% ，期货和现货相差了近7%，各位真的是拼命给面子啊。。。 oi也快到20m了  DWF 天时地利有了，剩下的就看你能不能把握了，期待一波反打 https://t.co/rsf17NGADs
实盘推文,1773290455477743966,Thu Mar 28,点赞 318,浏览 1393,oooo this is sick @RooRooCoin   r we too late?   @marginx_io is just full of opportunity
实盘推文,1789199592061628883,Sat May 11,点赞 85,浏览 723,"For those who cannot participate on @berachain  Come join @marginx_io - not backed by VC , no BS high valuation Only #meme for real"
实盘推文,1946435995597168955,Sat Jul 19,点赞 8,浏览 2499,@ZLiao3 他们有期权锁着最高价 而且卖的时候一般会开多仓对冲  最重要的是： 现在的行情一般都是“上市”即巅峰，何况是12-24个月后才“还款”  有多少项目能在2年后还在的都不好说 😄
实盘推文,1701817818277367989,Wed Sep 13,点赞 6,浏览 803,"MarginX , an automated limit order book market maker for perpetual trading  #alo #aloisthenewamm @marginx_io"
实盘推文,1582635244749930496,Wed Oct 19,点赞 26,浏览 0,Hi all I just posted a new thread on @StarScan_io forum : https://t.co/MXd6XNE8OI Proposing the community of @FUNCTIONX_IO allocate 1m $fx to incentivize and educate users on @marginx_io  Let’s discuss more on the forum
实盘推文,2079453432713539983,Tue Jul 21,点赞 3,浏览 2753,似曾相识燕归来 不论是西方还是东方，抠字眼发meme就是一个常态  同一个事情，不管是 coinbase的base，binance的bnb chain，还是okx的xlayer   如果人性不是相通的话，那就是背后都是的同一拨人
实盘推文,1971777922953629706,Sat Sep 27,点赞 12,浏览 3963,又一个稳定币项目 @falconfinance  稍微不一样的是他的收益来源，除了耳熟能详的什么国债收益之外，居然还有一部分是mm的收益  好处是“mm”收益听起来稍微不同，有点特点；坏处是，这个是黑盒，who knows？（但是其他的稳定币也是这样）  可能还有点 @worldlibertyfi 加持，不过不太确定实用性  对于这个版本的大满贯新币来说，看盘面和oi就行，要什么叙事 🤣
